category,image_id,width,height,prompt,bbox_512,bbox_1024,num_inference_steps,guidance_scale,seed,orig_nima_mean,orig_nima_std,orig_itm,orig_cos,orig_giqa
apple,193926,799,595,"apple, A series of photos showing a banana holder.","[0, 0, 512, 512]","[0, 0, 792, 592]",31,8.832242835730762,1145441010,6.0646772,2.9029067,0.24072265625,0.35205078125,-391.4982131805464
apple,389381,1024,868,"apple, a bowl of different kinds of food on it","[167, 179, 512, 512]","[0, 3, 1024, 864]",25,3.5813548817879983,821827540,4.8450837,2.2963612,0.023956298828125,0.2125244140625,-268.99447084002173
apple,116362,612,612,"apple, A bowl filled with food on top of a wooden table.","[0, 21, 512, 512]","[0, 0, 608, 608]",26,6.428333350464056,847200043,4.2100496,2.172642,0.25048828125,0.2327880859375,-551.03003469841
apple,562059,683,1024,"apple, A table topped with a bowl of granola and two apples.","[0, 322, 512, 512]","[0, 0, 680, 1024]",24,7.997806746281609,757855135,4.7871046,2.3637562,0.390869140625,0.33642578125,-216.8059518886674
apple,322959,612,612,"apple, Bread and fruit are on a table with a knife and fork.","[100, 0, 512, 512]","[4, 0, 608, 608]",35,7.444671666432088,1340589947,4.6746697,2.2608986,0.1708984375,0.33740234375,-512.7356055120927
apple,424721,1024,768,"apple, A frying pan filled with vegetables and apples.","[430, 0, 512, 512]","[0, 0, 1024, 768]",47,9.238421084414568,1938609420,4.6502075,2.2629502,0.51806640625,0.380126953125,-358.8644027894934
apple,407825,563,564,"apple, A red apple with a clock inside of it.","[31, 34, 512, 512]","[3, 4, 560, 560]",44,8.743542842645962,1786372013,4.4827414,2.1208308,0.2012939453125,0.334228515625,-225.48816800874053
apple,189078,1000,667,"apple, Variety of fruits such as bananas, oranges, and apples on a platter.","[488, 0, 512, 512]","[0, 0, 1000, 664]",48,9.264138661438862,2014448640,5.3966947,2.5186586,0.1473388671875,0.319091796875,-364.4256077313101
apple,522007,1024,768,"apple, The view of a kitchen's microwave, oven, and cabinets.","[0, 98, 512, 512]","[0, 0, 1024, 768]",19,1.2392896102083748,500051954,4.7678576,2.4175258,0.54443359375,0.34033203125,-455.63450556923226
apple,110999,574,1024,"apple, A painting of a man smiling behind a table with fruit","[62, 512, 512, 512]","[6, 0, 568, 1024]",13,4.935232001165579,168571695,5.890836,2.8254318,0.63671875,0.394287109375,-259.5490112217569
apple,548506,1024,680,"apple, There is some apples, a pear, and a bunch of bananas. ","[80, 0, 512, 512]","[0, 0, 1024, 680]",17,5.364498942795593,388528798,5.6738234,2.7979133,0.54345703125,0.34228515625,-294.88446221634604
apple,217753,1024,768,"apple, A large display of fruit: applies, grapes, oranges, lemons, limes and grapefruit","[0, 201, 512, 512]","[0, 0, 1024, 768]",42,1.5863877763309675,1701289843,5.6073427,2.7066429,0.3515625,0.3271484375,-459.13857064507374
apple,482719,1024,768,"apple, The fruit is placed in a bowl out in the open to be eaten","[179, 216, 512, 512]","[0, 0, 1024, 768]",22,1.0506344561145364,644859804,4.7597275,2.3707652,0.1591796875,0.318603515625,-369.3509605212572
apple,119452,1024,768,"apple, a spotty banana sitting on top of an orange and some other fruit ","[428, 165, 512, 512]","[0, 0, 1024, 768]",48,8.475592932741314,2038980991,5.1039486,2.472771,0.1087646484375,0.2171630859375,-936.4389028186326
apple,386210,765,1024,"apple, Tube of orange and pears, surrounded by boxes of grass and one pineapple","[166, 36, 512, 512]","[5, 0, 760, 1024]",27,9.84972019857558,906032039,4.530045,2.2211158,0.023773193359375,0.240478515625,-418.3936095070851
apple,173091,612,612,"apple, A simple lunch includes a coffee drink, fruit and a sandwich wrap.","[1, 100, 512, 512]","[0, 4, 608, 608]",40,8.061488674054116,1579638338,4.4964204,2.2515562,0.330078125,0.354248046875,-506.67220811767584
apple,388903,850,565,"apple, A woman talking on the phone in front of a person selling apples.","[20, 53, 512, 512]","[0, 5, 848, 560]",32,3.8404314098044585,1182859276,4.934994,2.3834229,0.04205322265625,0.34619140625,-348.293631608864
apple,188592,768,1024,"apple, A child in green pants is eating an apple. ","[117, 308, 512, 512]","[0, 0, 768, 1024]",31,7.348003341305084,1131072087,5.127953,2.5472264,0.356689453125,0.3525390625,-281.21060596108373
