category,image_id,width,height,prompt,bbox_512,num_inference_steps,guidance_scale,seed,orig_nima_mean,orig_nima_std,orig_giqa,orig_itm,orig_cos
airplane,208901,1023,683,"airplane, A modern jet airplane flying up in the sky","[15, 10, 1008, 672]",5,0,1145441010,5.136071,1.5083134,-329.217348474454,0.2724609375,0.433349609375
airplane,90631,1024,622,"airplane, A colorful fighter jet flying through a blue sky.","[0, 0, 1024, 608]",4,0,821827540,5.0055404,1.5246216,-344.0985839013756,0.234375,0.42138671875
airplane,525322,1023,685,"airplane, two stunt airplanes touching their wings as the fly","[15, 13, 1008, 672]",4,0,847200043,5.600077,1.5235783,-407.92314517697855,0.2108154296875,0.4326171875
airplane,71711,1024,683,"airplane, A large airplane museum with old war planes.","[0, 11, 1024, 672]",4,0,757855135,6.168621,1.3174448,-272.09935076861075,0.368896484375,0.353515625
airplane,44652,1024,683,"airplane, An single passanger in an airplane flying through the sky","[0, 0, 1024, 672]",5,0,1340589947,5.742671,1.4767358,-410.9059896471483,0.273681640625,0.39111328125
airplane,410221,995,1024,"airplane, A flying airplane being viewed through power lines.","[3, 0, 992, 1024]",6,0,1938609420,4.790284,1.5919555,-540.3641083920656,0.2666015625,0.418212890625
airplane,545407,800,530,"airplane, An airplane is flying through clear blue sky.","[0, 2, 800, 528]",6,0,1786372013,5.1204286,1.5479876,-297.0373784462272,0.261962890625,0.448974609375
airplane,567432,1024,679,"airplane, A jet airplane is flying through the sky.","[0, 7, 1024, 672]",6,0,2014448640,5.202621,1.6098335,-453.99674679695545,0.381103515625,0.42041015625
airplane,272049,1024,683,"airplane, Large brown truck parked on the grass next to an airplane. ","[0, 0, 1024, 672]",3,0,168571695,3.866913,1.2873982,-211.9482330907292,0.2281494140625,0.389404296875
airplane,469174,1024,736,"airplane, A passenger jet airplane flies low over trees with an American flag in the foreground.","[0, 0, 1024, 736]",3,0,388528798,4.9186444,1.5213318,-265.01577229831355,0.312255859375,0.44287109375
airplane,52412,1024,681,"airplane, View from an airplane looking looking out over large parking lot.","[0, 0, 1024, 672]",6,0,1701289843,4.2609105,1.3959976,-344.71237995652405,0.139892578125,0.365234375
